predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.LocalPhysicalCopyBounds.PatchData,structure,NavierStokes/LocalPhysicalCopyBounds.lean:401,3,0,1,,,,NavierStokes/LocalPhysicalCopyBounds.lean:425; NavierStokes/LocalPhysicalCopyBounds.lean:433; NavierStokes/LocalPhysicalCopyBounds.lean:460
NavierStokes.LocalScheduleAngular.Schedule,abbrev,NavierStokes/LocalScheduleAngular.lean:18,3,0,1,,,,NavierStokes/LocalScheduleAngular.lean:36; NavierStokes/LocalScheduleAngular.lean:48; NavierStokes/LocalScheduleAngular.lean:61
NavierStokes.ParticularWaveAssembly.BackgroundControl,structure,NavierStokes/ParticularWaveAssembly.lean:1403,3,0,1,,,,NavierStokes/ActualParticularRealization.lean:253; NavierStokes/ActualParticularRealization.lean:278; NavierStokes/ActualParticularRealization.lean:321
NavierStokes.ParticularWaveAssembly.LocalControl,structure,NavierStokes/ParticularWaveAssembly.lean:1422,3,0,2,,,,NavierStokes/ActualParticularPhysicalData.lean:190; NavierStokes/ActualParticularRealization.lean:898; NavierStokes/ActualParticularRealization.lean:915
NavierStokes.PhysicalResidualJetBounds.ResidualChartData,structure,NavierStokes/PhysicalResidualJetBounds.lean:774,3,0,1,,,,NavierStokes/PhysicalResidualJetBounds.lean:793; NavierStokes/PhysicalResidualJetBounds.lean:833; NavierStokes/PhysicalResidualJetBounds.lean:1049
NavierStokes.ActivationContinuation.HoldSourceControl,def,NavierStokes/ActivationContinuation.lean:1861,2,0,1,,,,NavierStokes/ActivationContinuation.lean:1870; NavierStokes/ActivationContinuation.lean:1902
NavierStokes.ActualCycleResidualBounds.PhysicalFields,structure,NavierStokes/ActualCycleResidualBounds.lean:1015,2,0,1,,,,NavierStokes/ActualCycleResidualBounds.lean:1041; NavierStokes/ActualCycleResidualBounds.lean:1089
NavierStokes.ActualIterationLedger.StageMetadata,structure,NavierStokes/ActualIterationLedger.lean:330,2,0,1,,,,NavierStokes/ActualIterationLedger.lean:350; NavierStokes/ActualIterationLedger.lean:382
NavierStokes.ActualParticularStageControls.ResidualBounds,abbrev,NavierStokes/ActualParticularStageControls.lean:1402,2,0,1,,NavierStokes/ActualParticularStageControls.lean:1472,route2?,NavierStokes/ActualParticularStageControls.lean:1418; NavierStokes/ActualParticularStageControls.lean:1455
NavierStokes.ActualPeriodizedSignedRealization.SupportedRegular,structure,NavierStokes/ActualPeriodizedSignedRealization.lean:597,2,0,1,,,,NavierStokes/ActualPeriodizedSignedRealization.lean:737; NavierStokes/ActualPeriodizedSignedRealization.lean:838
